EventID,PrimaryPDG,PrimaryMom,PrimaryPosX,PrimaryPosY,PrimaryPosZ,RICH1_Beta,RICH1_NPE,RICH2_Beta,RICH2_NPE,Calo_TotalE,Calo_EoP,DWC1_NHits,DWC1_TrackAngle,DWC2_NHits,DWC2_TrackAngle,DecayKinkDetected,SC1_Hit,SC2_Hit,TOF,Decayed,DecayPosX,DecayPosY,DecayPosZ,DecayTime,DecayProductPDG,ReconstructedPID,Survived,RunNumber
548.0,211.0,8.042914620324291,0.7481513681940467,1.0271349466330766,-50.0,1.0002861542751909,58,1.0002861542751909,62,0.18234725603127547,0.02267178810657612,11,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
549.0,211.0,7.949514050425899,-1.5022244410252712,1.7354549242460837,-50.0,1.0001764710166792,62,1.0001764710166792,57,0.09527939013107012,0.011985561573536118,12,0.0,14,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
550.0,211.0,8.0377124300639,0.03196691640932608,-0.2085441620160684,-50.0,1.000378673329351,60,1.000378673329351,67,0.11476838964521788,0.014278737967278268,13,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
551.0,211.0,7.906525583760853,-0.11301690321710958,1.0604272511336752,-50.0,1.0014694594941782,60,1.0014694594941782,60,0.12142096619665135,0.01535705727001464,10,0.0,14,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
552.0,211.0,7.821706640276477,0.5504948912218145,-0.009306355683777455,-50.0,1.0012262361758457,59,1.0012262361758457,60,0.12123325713956919,0.015499591421046175,10,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
553.0,211.0,8.054119715539045,-2.031291403227379,-1.1411933219933617,-50.0,1.0012945800932516,58,1.0012945800932516,64,0.053433738225624056,0.006634336229511564,14,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
554.0,211.0,8.129182097679251,-2.100133407111838,1.5892544897408298,-50.0,0.9995048924095915,59,0.9995048924095915,59,0.04752103204004628,0.005845733490656182,15,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
555.0,211.0,8.041626943765978,-0.4880200377277751,0.18891282806564444,-50.0,0.9985912475636841,55,0.9985912475636841,61,0.13087779218345152,0.01627503900624369,10,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
556.0,211.0,8.075048483536097,-2.0022038040444308,0.3566255414842713,-50.0,0.9994716414896474,59,0.9994716414896474,56,0.08491246220393042,0.010515412059389507,12,0.0,15,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
557.0,211.0,7.847477791488587,-0.7139111663619384,-0.8145866132510489,-50.0,0.9994643554793085,58,0.9994643554793085,53,0.03767863518013729,0.0048013688195465455,12,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
558.0,211.0,8.095573451629948,0.056561254526746985,-0.4746653356725294,-50.0,1.0011923986363163,60,1.0011923986363163,58,0.13184466207823375,0.016286018880069378,11,0.0,15,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
559.0,211.0,8.00557200124711,-2.016033303751239,-0.1103135765415293,-50.0,1.0005980854466767,63,1.0005980854466767,63,0.09905563927773776,0.012373336878652375,10,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
560.0,211.0,8.059936897726011,-0.5169542352565231,1.506958540106431,-50.0,0.9993250863298169,68,0.9993250863298169,60,0.0468901356518484,0.005817680243263163,14,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
561.0,211.0,8.020425892962214,0.396960427735064,1.5236922411412581,-50.0,0.9996372801887209,65,0.9996372801887209,57,0.09622007957043666,0.011996879075320443,13,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
562.0,211.0,8.178781412883275,0.9336453539314243,-1.5046241812535746,-50.0,0.9988184415663734,60,0.9988184415663734,60,0.1692535030713236,0.02069422014442326,12,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
563.0,211.0,7.879472699191918,-0.3727212408264751,-0.064602723781668,-50.0,1.0002722508790367,59,1.0002722508790367,57,0.14783415368747316,0.01876193488209361,12,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
564.0,211.0,8.036848371385778,-0.3438040584785263,-0.3999852293299695,-50.0,0.9993881980521221,55,0.9993881980521221,63,0.10547426539271745,0.013123834184584812,15,0.0,10,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
565.0,211.0,7.972142059382485,0.43624216143374706,-0.6197922070281618,-50.0,0.9997036001552649,60,0.9997036001552649,65,0.01035392664951336,0.0012987634405395134,13,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
566.0,211.0,7.900481197580436,-2.2931190102717904,0.14461533463878806,-50.0,0.9992010621305518,57,0.9992010621305518,60,0.10074017744699247,0.012751144509760328,12,0.0,10,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
567.0,211.0,7.943978659845073,-1.6819743546863244,-0.5368267885638491,-50.0,1.0010468526312055,57,1.0010468526312055,57,0.05851154403553035,0.0073655213012205475,12,0.0,14,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
568.0,211.0,8.136259760027137,0.10065344464143537,0.5417145864714679,-50.0,0.9998457782138578,64,0.9998457782138578,60,0.15527955698395862,0.019084881943769297,12,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
569.0,211.0,7.95109770564769,0.728892601676363,-0.7099107867139385,-50.0,0.9984733152470899,65,0.9984733152470899,65,0.09741946729103812,0.012252329288047958,12,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
570.0,211.0,8.009856027674866,-0.8867985050301858,0.6445945559393296,-50.0,1.0009494864389858,62,1.0009494864389858,64,0.13211146530175422,0.016493612974477406,12,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
571.0,321.0,8.071289102728699,0.6549092248330751,0.1850921089054256,-50.0,0.9963573064053,62,0.9963573064053,59,0.007674596249119481,0.0009508513635727525,12,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,321.0,1,2
572.0,321.0,7.948957725196728,0.28904274162104915,-0.41064204928174425,-50.0,0.9973803845477685,57,0.9973803845477685,57,0.06453127886467494,0.008118206322839371,13,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,321.0,1,2
573.0,211.0,7.996732367163468,0.19018574044947872,-0.28678580910646573,-50.0,1.0004348427023155,60,1.0004348427023155,64,0.1259943848980209,0.015755733606314565,13,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
574.0,211.0,8.147318955307833,0.5070188404734771,0.008755440061129018,-50.0,0.9988138532495127,59,0.9988138532495127,61,0.10067608361942784,0.012356958672133385,12,0.0,15,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
575.0,211.0,8.085605978067207,-2.254671605304952,0.7454512972986701,-50.0,0.9992657081194198,61,0.9992657081194198,55,0.14041943048941333,0.017366593285687088,15,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
576.0,211.0,8.126067872728532,-1.034253944033408,-0.5587953612144718,-50.0,1.000043830867343,60,1.000043830867343,57,0.14567636849720383,0.017927043039610905,15,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
577.0,211.0,7.97765911246183,-1.0898394661605963,-1.1603906307916743,-50.0,1.0015421717020516,66,1.0015421717020516,68,-0.03595298524164839,-0.004506708639065131,12,0.0,14,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
578.0,211.0,7.777578503334805,-0.24529298559072574,-0.4089350267105236,-50.0,0.9994820321183833,59,0.9994820321183833,64,0.11249189128772435,0.014463613737809399,16,0.0,14,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
579.0,211.0,7.8635672307884965,0.003856761546187275,-1.053220139163559,-50.0,0.9999249644093824,58,0.9999249644093824,59,0.11581941144440319,0.014728609554062366,10,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
580.0,211.0,8.024388628960901,0.0030305266684833294,0.25364231318294694,-50.0,0.9990547808232104,56,0.9990547808232104,61,0.2316767875475429,0.028871581158394534,11,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
581.0,211.0,7.951918659153837,-0.23631930684392158,-1.0876764518649826,-50.0,0.9988086271939196,57,0.9988086271939196,63,0.13999208542099306,0.017604818588007238,10,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
582.0,211.0,7.92058990647473,1.4189495625386261,0.8615062323554333,-50.0,1.0019399462026284,56,1.0019399462026284,63,0.19329790927316043,0.024404483953290902,14,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
583.0,211.0,8.08127050349889,0.36315436033449894,0.11587489912411565,-50.0,1.0016686775917159,59,1.0016686775917159,56,0.06593779659225596,0.008159335411889422,11,0.0,10,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
584.0,211.0,7.988190839813801,0.3608505567033808,-0.472593427473909,-50.0,0.9999259012720177,59,0.9999259012720177,65,0.11555375932817007,0.014465573199909123,11,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
585.0,211.0,8.218267496911722,-0.4943212032578604,-1.0299888503257164,-50.0,0.9997080829740272,59,0.9997080829740272,60,0.15701283785575926,0.01910534524639918,10,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
586.0,211.0,8.072802935835895,-0.6734944782451281,-0.7356237866402914,-50.0,0.999791726301601,61,0.999791726301601,60,0.0710266005804027,0.008798257698711962,13,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
587.0,211.0,7.946767702180988,1.0866281510987352,-0.33336725807608913,-50.0,0.9989942230491744,60,0.9989942230491744,58,0.2010969213257119,0.025305498897434855,13,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
588.0,211.0,7.816491712993184,-1.2148930296167715,0.2301066584046812,-50.0,0.9977256041853618,63,0.9977256041853618,61,0.14356544739864488,0.01836699284923429,13,0.0,10,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
589.0,211.0,7.880403141450198,-0.08447891495369432,-0.04977588885619251,-50.0,1.0011340559667834,61,1.0011340559667834,63,0.15542165942815736,0.01972255183375755,14,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
590.0,211.0,8.058071919941616,-0.3526909130089264,-0.93304517078009,-50.0,0.999825457404781,66,0.999825457404781,56,-0.02754965051736244,-0.0034188886362734334,12,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
591.0,211.0,8.076886803438272,0.14304270332997357,-1.9910776548043567,-50.0,0.9987017924092185,59,0.9987017924092185,59,0.18872039746076089,0.02336548747723244,13,0.0,10,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
592.0,211.0,7.929406396603392,-0.5162372573509689,0.6401546422019694,-50.0,1.0015946864571013,64,1.0015946864571013,56,0.08016558263421904,0.010109909698733368,13,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
593.0,211.0,7.958755775755404,0.13795358750983616,-1.8309207850952727,-50.0,1.0005976628836561,62,1.0005976628836561,59,0.04346893522409123,0.0054617752383494126,13,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,2
