EventID,PrimaryPDG,PrimaryMom,PrimaryPosX,PrimaryPosY,PrimaryPosZ,RICH1_Beta,RICH1_NPE,RICH2_Beta,RICH2_NPE,Calo_TotalE,Calo_EoP,DWC1_NHits,DWC1_TrackAngle,DWC2_NHits,DWC2_TrackAngle,DecayKinkDetected,SC1_Hit,SC2_Hit,TOF,Decayed,DecayPosX,DecayPosY,DecayPosZ,DecayTime,DecayProductPDG,ReconstructedPID,Survived,RunNumber
5929.0,211.0,8.027534593337968,-1.6405837834197623,0.5596802861427358,-50.0,1.0000247190869356,58,1.0000247190869356,59,0.099159494066875,0.012352421894160037,13,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5930.0,211.0,7.873068225125739,-0.8421865423581646,0.025008339286094732,-50.0,0.9999584386918928,59,0.9999584386918928,64,0.019808731712967806,0.0025160116928430966,10,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5931.0,211.0,7.946663276526737,1.9383656189569882,0.17146382659897966,-50.0,0.999894204752597,59,0.999894204752597,55,0.11257692063958524,0.014166564848937383,11,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5932.0,211.0,7.912278967797333,0.17162541182643026,0.13545302851428,-50.0,1.0002362880513191,65,1.0002362880513191,60,0.09047955087099502,0.011435333769100315,12,0.0,14,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5933.0,211.0,8.03803615599897,1.7504300709865037,0.12406764136631415,-50.0,1.0001489789722096,59,1.0001489789722096,57,0.08791529045537429,0.010937409181689372,13,0.0,17,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5934.0,211.0,7.900320286269383,1.5016983534452861,0.6389232301092778,-50.0,1.0006243928414524,67,1.0006243928414524,57,0.09698252763185139,0.012275771629209174,15,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5935.0,211.0,8.16747766212663,0.10445344510791901,0.11961131749271092,-50.0,0.9983068905037314,62,0.9983068905037314,61,0.07664543950639634,0.009384223952250095,13,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5936.0,211.0,7.828065975291827,1.963419720094564,-1.4920526741830664,-50.0,1.000945094606717,58,1.000945094606717,63,0.0938769703486695,0.011992358092660275,11,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5937.0,211.0,8.118413189837568,0.18612765925187413,1.1568509710826473,-50.0,1.0006004949694607,61,1.0006004949694607,58,0.1323845350919094,0.016306700828879358,14,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5938.0,211.0,8.122576974763591,-1.1319390639239773,-1.9706122417507466,-50.0,1.0006352164152676,59,1.0006352164152676,58,0.045591777003721884,0.005612969522526296,15,0.0,11,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5939.0,211.0,8.151874244610829,-1.742931795550535,1.1621583843589938,-50.0,0.9988490205141738,58,0.9988490205141738,62,0.06265145038518719,0.007685527095392303,11,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5940.0,211.0,8.139092773594927,-0.8360453815010473,0.5330776688566026,-50.0,0.9999192512007262,60,0.9999192512007262,58,0.05793455631053195,0.007118060688346602,17,0.0,13,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5941.0,211.0,7.947755994720247,0.6320347386910988,-0.6306946023027649,-50.0,1.000025767469315,56,1.000025767469315,58,0.08442617075799255,0.010622642518728239,11,0.0,12,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
5942.0,211.0,7.877263876914786,0.45646673499273205,-1.1546943009469215,-50.0,0.9985185282063679,67,0.9985185282063679,56,0.11965204281461674,0.015189543562869666,11,0.0,10,0.0,0,1,1,50.0,0,0.0,0.0,0.0,0.0,0,211.0,1,3
